2022-11-13 22:41:59,707 - project - DEBUG - stations collection dropped sucessfuly
2022-11-13 22:41:59,805 - project - DEBUG - Getting vlille infos from website
2022-11-13 22:42:00,622 - project - DEBUG - Formating vlille to MongoDB format
2022-11-13 22:42:00,791 - project - INFO - Start fetching the update of vlilles
2022-11-13 22:42:00,791 - project - DEBUG - Getting vlille infos from website
2022-11-13 22:42:01,251 - project - INFO - Updating databse : 260 elements to update...
2022-11-13 22:42:04,486 - project - DEBUG - Element 64/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 78
2022-11-13 22:42:04,527 - project - DEBUG - Element 65/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 113
2022-11-13 22:42:04,568 - project - DEBUG - Element 66/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 217
2022-11-13 22:42:04,617 - project - DEBUG - Element 67/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 200
2022-11-13 22:42:04,666 - project - DEBUG - Element 68/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 86
2022-11-13 22:42:04,707 - project - DEBUG - Element 69/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 149
2022-11-13 22:42:04,749 - project - DEBUG - Element 70/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 265
2022-11-13 22:42:04,789 - project - DEBUG - Element 71/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 178
2022-11-13 22:42:04,829 - project - DEBUG - Element 72/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 238
2022-11-13 22:42:04,862 - project - DEBUG - Element 73/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 40
2022-11-13 22:42:04,911 - project - DEBUG - Element 74/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 73
2022-11-13 22:42:04,951 - project - DEBUG - Element 75/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 119
2022-11-13 22:42:04,984 - project - DEBUG - Element 76/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 125
2022-11-13 22:42:05,032 - project - DEBUG - Element 77/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 130
2022-11-13 22:42:05,074 - project - DEBUG - Element 78/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 179
2022-11-13 22:42:05,122 - project - DEBUG - Element 79/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 185
2022-11-13 22:42:05,163 - project - DEBUG - Element 80/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 307
2022-11-13 22:42:05,204 - project - DEBUG - Element 81/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 313
2022-11-13 22:42:05,244 - project - DEBUG - Element 82/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 159
2022-11-13 22:42:05,285 - project - DEBUG - Element 83/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 37
2022-11-13 22:42:05,327 - project - DEBUG - Element 84/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 223
2022-11-13 22:42:05,367 - project - DEBUG - Element 85/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 22
2022-11-13 22:42:05,408 - project - DEBUG - Element 86/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 63
2022-11-13 22:42:05,456 - project - DEBUG - Element 87/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 253
2022-11-13 22:42:05,498 - project - DEBUG - Element 88/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 254
2022-11-13 22:42:05,545 - project - DEBUG - Element 89/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 25
2022-11-13 22:42:05,587 - project - DEBUG - Element 90/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 49
2022-11-13 22:42:05,620 - project - DEBUG - Element 91/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 50
2022-11-13 22:42:05,660 - project - DEBUG - Element 92/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 154
2022-11-13 22:42:05,709 - project - DEBUG - Element 93/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 84
2022-11-13 22:42:05,749 - project - DEBUG - Element 94/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 46
2022-11-13 22:42:05,791 - project - DEBUG - Element 95/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 47
2022-11-13 22:42:05,823 - project - DEBUG - Element 96/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 53
2022-11-13 22:42:05,864 - project - DEBUG - Element 97/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 68
2022-11-13 22:42:05,913 - project - DEBUG - Element 98/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 72
